Observation ID,Exposure time,Date of observation,MJD,Source coordinates,FF coordinates,FF corrections,Median image background,Background subtracted CPS,Corrected CPS,Corrected CPS errors
LEVL2AS1UVT20221215C06_010T05_9000005424_uvt_03,481.8446,15/12/2022,59928.21770007775,[1994.9 3248. ],[213.8 390.5],1.017370893572245,3.446e-05,8.566005300000002,11.190674468935564,0.15205305028491367
LEVL2AS1UVT20221215C06_010T05_9000005424_uvt_02,1318.672,15/12/2022,59928.28408804239,[2040.6 3211. ],[205.2 385.8],1.020391828007306,3.719e-05,8.4067314,10.904738319413898,0.09084399063547738
LEVL2AS1UVT20221215C06_010T05_9000005424_uvt_01,984.6163,15/12/2022,59928.34966310217,[2020.9 3132. ],[208.4 376. ],1.015735636006012,3.633e-05,8.4485847,11.029189129493924,0.1056721415625208
LEVL2AS1UVT20221223C06_010T05_9000005436_uvt_03,1046.114,23/12/2022,59936.40380748491,[2138.2 3395.3],[228.8 391.7],1.0160088758576378,3.696e-05,8.3319131,10.844849190639264,0.10174038829637282
LEVL2AS1UVT20221223C06_010T05_9000005436_uvt_02,1732.193,23/12/2022,59936.47006898333,[2612.5 3412.6],[232.2 396.7],1.0181019894430436,3.289e-05,8.2717434,10.725832045686118,0.07865103065819783
LEVL2AS1UVT20230115C06_010T05_9000005484_uvt_03,1435.363,15/01/2023,59959.87328381399,[2903.  3533.7],[325.9 391.8],1.0061858043277847,4.200e-05,8.3669904,11.025818995686537,0.08754059805273996
LEVL2AS1UVT20230115C06_010T05_9000005484_uvt_02,1173.565,15/01/2023,59959.94207698836,[2890.4 3491.9],[325.7 395.2],1.0079501618679647,4.165e-05,8.411756800000001,11.072989917092645,0.096999073204422
LEVL2AS1UVT20230422T05_101T01_9000005578_uvt_02,793.4738,22/04/2023,60056.97625771062,[3328.3 1880.3],[380.4 202.3],0.9920648879472264,3.817e-05,8.2522988,11.030127156230717,0.11774325381847901
LEVL2AS1UVT20230422T05_101T01_9000005578_uvt_01,211.8987,23/04/2023,60057.04344781561,[3406.  1857.2],[383.  196.6],0.9922022416154076,4.455e-05,8.1159211,10.811761464323952,0.22586274649456065
LEVL2AS1UVT20230428T05_101T01_9000005586_uvt_02,851.4885,28/04/2023,60062.993210178975,[3223.9 1786.7],[373.1 186.3],0.9921267073449213,5.212e-05,8.0320258,10.68061003922094,0.11209362490101149
LEVL2AS1UVT20230428T05_101T01_9000005586_uvt_01,182.2993,29/04/2023,60063.06167725061,[3371.8 1791.2],[380.2 184. ],0.9936337893842616,5.349e-05,8.0325664,10.662008878723801,0.24209957085974954
LEVL2AS1UVT20230529C06_010T05_9000005670_uvt_04,521.7172,30/05/2023,60094.02418266799,[3287.7 1027.9],[371.1  88.6],1.0663301569389323,4.275e-05,8.5445151,10.551559342781896,0.1423093974138252
LEVL2AS1UVT20230529C06_010T05_9000005670_uvt_01,889.8638,30/05/2023,60094.21547022855,[3039.3  532.6],[370.1  81.1],1.0757392477058667,9.847e-05,8.520319699999998,10.407906066148987,0.108597376735502
LEVL2AS1UVT20230729C06_010T01_9000005800_uvt_04,1269.118,29/07/2023,60154.92979120458,[1898.8  900.6],[198.9  61.2],1.0731490570531297,4.134e-05,8.2280357,10.018105616695482,0.08910489355605224
LEVL2AS1UVT20230729C06_010T01_9000005800_uvt_03,226.8035,29/07/2023,60154.99597859554,[1842.6  739.5],[194.7  48.2],1.0855646823643283,4.427e-05,8.365252799999999,10.0771869472067,0.21135580418008354
LEVL2AS1UVT20230813C06_010T01_9000005816_uvt_03,195.3482,13/08/2023,60169.396869503296,[1777.7 1017. ],[175.2  88.7],1.0513340878669355,3.638e-05,8.2266101,10.260327163578431,0.22954211032796748
LEVL2AS1UVT20230813C06_010T01_9000005816_uvt_01,390.2259,13/08/2023,60169.45084938969,[1728.8  893.3],[171.9  89. ],1.0521613014144595,1.132e-04,8.4736314,10.614642553110329,0.16560498993079423
LEVL2AS1UVT20240624C09_011T02_9000006310_uvt_02,735.95,24/06/2024,60485.732826737745,[2763.4  694.9],[301.2  55.6],1.0860281765660602,7.688e-05,8.2876967,9.963066542148615,0.11692972349667427
LEVL2AS1UVT20240825C09_011T03_9000006410_uvt_03,732.3262,25/08/2024,60547.25677612972,[1410.7 1172.2],[133.6 113.8],1.041123774709959,5.401e-05,8.055725299999999,10.125874479863715,0.11796152901420796
LEVL2AS1UVT20240825C09_011T03_9000006410_uvt_02,1379.265,25/08/2024,60547.32291868102,[1447.5  788.8],[128.2 110.3],1.0430630917344164,7.195e-05,8.1140574,10.189741352487815,0.08628894059004455
LEVL2AS1UVT20240828C09_011T01_9000006418_uvt_01,573.4288,28/08/2024,60550.356327759226,[1485.7  821.5],[132.9 102.9],1.0472600008657271,1.256e-04,8.135815,10.173687273014153,0.13411867715147016
